"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"ANH-PA","Anworth Mortgage Asset  Corporation","25.75","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/anh-Pa",
"ANH-PB","Anworth Mortgage Asset  Corporation","24.5","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/anh-Pb",
"ANH-PC","Anworth Mortgage Asset  Corporation","24.93","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/anh-Pc",
"AON","Aon plc","172.66","$41.58B","n/a","Finance","Specialty Insurers","https://www.nasdaq.com/symbol/aon",
"APA","Apache Corporation","33.31","$12.64B","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/apa",
"AIV","Apartment Investment and Management Company","49.86","$7.4B","1994","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/aiv",
"AIV-PA","Apartment Investment and Management Company","25.6411","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/aiv-Pa",
"APY","Apergy Corporation","39.23","$3.03B","2018","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/apy",
"APHA","Aphria Inc.","9.71","$2.43B","n/a","Consumer Durables","Specialty Chemicals","https://www.nasdaq.com/symbol/apha",
"ARI","Apollo Commercial Real Estate Finance","17.98","$2.41B","2009","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/ari",
"ARI-PC","Apollo Commercial Real Estate Finance","25.42","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/ari-Pc",
"APO","Apollo Global Management, LLC","30.08","$12.31B","2011","Finance","Investment Managers","https://www.nasdaq.com/symbol/apo",
"APO-PA","Apollo Global Management, LLC","24.97","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/apo-Pa",
"APO-PB","Apollo Global Management, LLC","24.77","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/apo-Pb",
"AIY","Apollo Investment Corporation","25.6399","n/a","2013","n/a","n/a","https://www.nasdaq.com/symbol/aiy",
"AFT","Apollo Senior Floating Rate Fund Inc.","14.7","$228.92M","2011","n/a","n/a","https://www.nasdaq.com/symbol/aft",
"AIF","Apollo Tactical Income Fund Inc.","14.43","$208.72M","2013","n/a","n/a","https://www.nasdaq.com/symbol/aif",
"APLE","Apple Hospitality REIT, Inc.","16.36","$3.74B","2015","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/aple",
"AIT","Applied Industrial Technologies, Inc.","59.11","$2.29B","n/a","Consumer Durables","Industrial Specialties","https://www.nasdaq.com/symbol/ait",
"ATR","AptarGroup, Inc.","101.55","$6.38B","n/a","Consumer Non-Durables","Plastic Products","https://www.nasdaq.com/symbol/atr",
"APTV","Aptiv PLC","81.3","$21.14B","2011","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/aptv",
"WTR","Aqua America, Inc.","35.52","$6.32B","n/a","Public Utilities","Water Supply","https://www.nasdaq.com/symbol/wtr",
"AQ","Aquantia Corp.","8.5","$296.26M","2017","Technology","Semiconductors","https://www.nasdaq.com/symbol/aq",
"WAAS","AquaVenture Holdings Limited","21.76","$581.67M","2016","Public Utilities","Water Supply","https://www.nasdaq.com/symbol/waas",
"ARMK","Aramark","32.6","$8.03B","2013","Consumer Services","Restaurants","https://www.nasdaq.com/symbol/armk",
"ABR","Arbor Realty Trust","12.72","$1.1B","2004","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/abr",
"ABR-PA","Arbor Realty Trust","25.3409","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/abr-Pa",
"ABR-PB","Arbor Realty Trust","25.5745","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/abr-Pb",
"ABR-PC","Arbor Realty Trust","25.24","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/abr-Pc",
"ARC","ARC Document Solutions, Inc.","2.57","$117.68M","2004","Consumer Services","Professional Services","https://www.nasdaq.com/symbol/arc",
"MT","ArcelorMittal","22.61","$22.91B","n/a","Basic Industries","Steel/Iron Ore","https://www.nasdaq.com/symbol/mt",
"ARCH","Arch Coal, Inc.","89.85","$1.69B","2016","Energy","Coal Mining","https://www.nasdaq.com/symbol/arch",
"ADM","Archer-Daniels-Midland Company","41.85","$23.46B","n/a","Consumer Non-Durables","Packaged Foods","https://www.nasdaq.com/symbol/adm",
"AROC","Archrock, Inc.","10.06","$1.3B","n/a","Public Utilities","Natural Gas Distribution","https://www.nasdaq.com/symbol/aroc",
"ARNC","Arconic Inc.","18.06","$8.73B","n/a","Capital Goods","Metal Fabrications","https://www.nasdaq.com/symbol/arnc",
"ARCO","Arcos Dorados Holdings Inc.","8.55","$1.78B","2011","Consumer Services","Restaurants","https://www.nasdaq.com/symbol/arco",
"ACA","Arcosa, Inc.","31.59","$1.54B","2018","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/aca",
"RCUS","Arcus Biosciences, Inc.","11.21","$498.33M","2018","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/rcus",
"ARD","Ardagh Group S.A.","12.7","$3B","2017","Consumer Durables","Containers/Packaging","https://www.nasdaq.com/symbol/ard",
"ASC","Ardmore Shipping Corporation","5.41","$179.06M","2013","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/asc",
"AFC","Ares Capital Corporation","25.86","$206.88M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/afc",
"ACRE","Ares Commercial Real Estate Corporation","14.11","$404.94M","2012","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/acre",
"ARDC","Ares Dynamic Credit Allocation Fund, Inc.","14.94","$343.06M","2012","n/a","n/a","https://www.nasdaq.com/symbol/ardc",
"ARES","Ares Management Corporation","23.65","$5.17B","2014","Finance","Investment Managers","https://www.nasdaq.com/symbol/ares",
"ARES-PA","Ares Management Corporation","26.68","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/ares-Pa",
"AGX","Argan, Inc.","48.2","$750.51M","n/a","Basic Industries","Engineering & Construction","https://www.nasdaq.com/symbol/agx",
"ARGD","Argo Group International Holdings, Ltd.","25.5","n/a","n/a","Finance","Specialty Insurers","https://www.nasdaq.com/symbol/argd",
"ARGO","Argo Group International Holdings, Ltd.","69","$2.34B","n/a","Finance","Specialty Insurers","https://www.nasdaq.com/symbol/argo",
"ANET","Arista Networks, Inc.","269.58","$20.33B","2014","Technology","Computer Communications Equipment","https://www.nasdaq.com/symbol/anet",
"AI","Arlington Asset Investment Corp","8.7","$264.01M","n/a","Finance","Finance/Investors Services","https://www.nasdaq.com/symbol/ai",
"AI-PB","Arlington Asset Investment Corp","22.49","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/ai-Pb",
"AIC","Arlington Asset Investment Corp","23.27","n/a","2015","Finance","Finance/Investors Services","https://www.nasdaq.com/symbol/aic",
"AIW","Arlington Asset Investment Corp","23.78","n/a","n/a","Finance","Finance/Investors Services","https://www.nasdaq.com/symbol/aiw",
"ARLO","Arlo Technologies, Inc.","3.7","$274.71M","2018","Consumer Non-Durables","Consumer Electronics/Appliances","https://www.nasdaq.com/symbol/arlo",
"AHH","Armada Hoffler Properties, Inc.","15.57","$778.72M","2013","Finance","Real Estate","https://www.nasdaq.com/symbol/ahh",
"ARR","ARMOUR Residential REIT, Inc.","20.96","$1.06B","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/arr",
